grid_x,grid_y,lat,lon
1380,882,34.927975,128.78685
1381,882,34.927814,128.79242
1382,882,34.927654,128.79799
1383,882,34.927494,128.80356
1384,882,34.92733,128.80911
1385,882,34.92717,128.81468
1386,882,34.92701,128.82025
1387,882,34.926846,128.82582
1388,882,34.926685,128.83139
1389,882,34.92652,128.83696
1390,882,34.92636,128.84253
1391,882,34.926197,128.8481
1392,882,34.926033,128.85367
1393,882,34.92587,128.85924
1394,882,34.925705,128.8648
1395,882,34.92554,128.87038
1396,882,34.925377,128.87595
1397,882,34.925213,128.88152
1398,882,34.925045,128.88708
1399,882,34.92488,128.89265
1400,882,34.924713,128.89822
1401,882,34.92455,128.9038
1402,882,34.92438,128.90936
1403,882,34.924213,128.91493
1404,882,34.92405,128.9205
1405,882,34.92388,128.92607
1406,882,34.923714,128.93164
1407,882,34.923546,128.9372
1408,882,34.923374,128.94276
1409,882,34.923206,128.94833
1410,882,34.92304,128.9539
1411,882,34.922867,128.95947
1412,882,34.9227,128.96504
1413,882,34.922527,128.97061
1414,882,34.92236,128.97618
1415,882,34.922188,128.98175
1416,882,34.922016,128.98732
1417,882,34.921844,128.99289
1418,882,34.921673,128.99846
1419,882,34.9215,129.00401
1420,882,34.92133,129.00958
1421,882,34.921158,129.01515
1422,882,34.920982,129.02072
1423,882,34.92081,129.02629
1424,882,34.920635,129.03186
1425,882,34.920464,129.03743
1426,882,34.920288,129.043
1427,882,34.920113,129.04857
1428,882,34.919937,129.05414
1429,882,34.919765,129.05971
1430,882,34.91959,129.06526
1431,882,34.91941,129.07083
1432,882,34.919235,129.0764
1433,882,34.91906,129.08197
1434,882,34.918884,129.08754
1435,882,34.918705,129.09311
1436,882,34.91853,129.09868
1437,882,34.91835,129.10425
1438,882,34.91817,129.1098
1439,882,34.917995,129.11537
1440,882,34.917816,129.12094
1441,882,34.917637,129.12651
1442,882,34.917458,129.13208
1443,882,34.91728,129.13765
1444,882,34.9171,129.14322
1445,882,34.916916,129.14879
1446,882,34.916737,129.15434
1447,882,34.916557,129.15991
1448,882,34.916374,129.16548
1449,882,34.91619,129.17105
1450,882,34.91601,129.17662
1451,882,34.91583,129.18219
1452,882,34.915646,129.18774
1453,882,34.915462,129.19331
1454,882,34.91528,129.19888
1455,882,34.915096,129.20445
1456,882,34.914913,129.21002
1457,882,34.91473,129.21559
1458,882,34.914543,129.22116
1459,882,34.91436,129.22672
1460,882,34.914173,129.23228
1461,882,34.91399,129.23785
1462,882,34.913803,129.24342
1463,882,34.913616,129.249
1464,882,34.91343,129.25455
1465,882,34.913246,129.26012
1466,882,34.91306,129.26569
1467,882,34.91287,129.27126
1468,882,34.91268,129.27682
1469,882,34.912495,129.2824
1470,882,34.912308,129.28795
1471,882,34.912117,129.29352
1472,882,34.91193,129.29909
1377,883,34.933037,128.77032
1378,883,34.93288,128.7759
1379,883,34.93272,128.78146
1380,883,34.93256,128.78703
1381,883,34.9324,128.7926
1382,883,34.93224,128.79817
1383,883,34.93208,128.80374
1384,883,34.93192,128.80931
1385,883,34.93176,128.81488
1386,883,34.931595,128.82045
1387,883,34.931435,128.82602
1388,883,34.93127,128.83159
1389,883,34.93111,128.83716
1390,883,34.930946,128.84273
1391,883,34.930782,128.8483
1392,883,34.93062,128.85387
1393,883,34.930458,128.85944
1394,883,34.930294,128.865
1395,883,34.930126,128.87057
1396,883,34.929962,128.87614
1397,883,34.9298,128.88171
1398,883,34.929634,128.88728
1399,883,34.929466,128.89285
1400,883,34.929302,128.89842
1401,883,34.929134,128.90399
1402,883,34.92897,128.90956
1403,883,34.928802,128.91513
1404,883,34.928635,128.9207
1405,883,34.928467,128.92627
1406,883,34.9283,128.93184
1407,883,34.92813,128.93741
1408,883,34.927963,128.94298
1409,883,34.92779,128.94855
1410,883,34.927624,128.95412
1411,883,34.927456,128.95969
1412,883,34.927284,128.96526
1413,883,34.927116,128.97083
1414,883,34.926945,128.97638
1415,883,34.926773,128.98195
1416,883,34.9266,128.98752
